Picture Count,Address,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Total Full Baths,Total Half Baths,List Date,Closing Date,Days on Market,Cordova,Port Byron,Rapids City
24,1702 TIMBER RIDGE Drive,Port Byron,61275,345000,326250,18750,0.05435,168,1938,5,3,2004,2938,3,0,42205,42265,60,0,1,0
23,2303 PARKWAY Drive,Port Byron,61275,339900,327500,12400,0.03648,158,2074,4,3,2003,3629,3,0,42634,42762,128,0,1,0
24,2308 TIMBERLANE Drive,Port Byron,61275,329000,329000,0,0.00000,176,1865,4,3,2009,2665,3,0,42793,42856,63,0,1,0
21,1202 8TH Avenue,Rapids City,61278,319900,330000,-10100,-0.03157,179,1848,3,2,2015,1848,2,0,45100,45131,31,0,0,1
30,1702 Turkey Ridge Court,Port Byron,61275,340000,330000,10000,0.02941,174,1898,3,2,2006,1898,2,0,44762,44818,56,0,1,0
14,12010 ROUTE 84 NORTH,Port Byron,61275,340000,330000,10000,0.02941,220,1500,3,2,2008,1500,2,0,41775,41849,74,0,1,0
45,12421 228TH Street North,Port Byron,61275,300000,330000,-30000,-0.10000,161,2050,3,2,1969,2050,2,0,45036,45097,61,0,1,0
12,24011 66TH Avenue North,Port Byron,61275,354900,331500,23400,0.06593,103,3226,5,5,1999,4961,4,1,40820,40942,122,0,1,0
1,23800 80TH Avenue North,Port Byron,61275,334630,334630,0,0.00000,178,1881,3,3,2014,1881,2,1,41974,41978,4,0,1,0
36,1311 HUNTER Drive,Port Byron,61275,344000,335000,9000,0.02616,189,1770,4,3,2007,2813,3,0,43693,43784,91,0,1,0
24,22221 57TH Avenue North,Port Byron,61275,349900,335000,14900,0.04258,127,2636,4,4,1994,3866,3,1,41474,41614,140,0,1,0
20,2022 PARKWAY Drive,Port Byron,61275,320000,335000,-15000,-0.04688,159,2112,4,4,1992,3168,2,2,44601,44638,37,0,1,0
24,21401 60TH Avenue North,Port Byron,61275,349900,337000,12900,0.03687,168,2005,3,3,2003,2005,2,1,41946,42146,200,0,1,0
24,21304 RIVER Road,Cordova,61242,395000,337500,57500,0.14557,93,3616,3,5,1990,4166,3,2,43104,43319,215,1,0,0
16,2102 TIMBER RIDGE Drive,Port Byron,61275,344900,338500,6400,0.01856,143,2372,4,3,2002,4372,3,0,42156,42202,46,0,1,0
23,1215 N HIGH Street,Port Byron,61275,389000,340000,49000,0.12596,167,2034,3,3,2002,2034,3,0,43385,43707,322,0,1,0
24,2307 PARKWAY Drive,Port Byron,61275,345000,340000,5000,0.01449,138,2463,4,3,2004,2463,2,1,43439,43609,170,0,1,0
24,303 PEARSALL Drive,Port Byron,61275,349900,342000,7900,0.02258,158,2163,5,4,2008,3263,3,1,42534,42622,88,0,1,0
24,1705 TIMBER RIDGE Drive,Port Byron,61275,349900,343000,6900,0.01972,176,1950,4,3,2010,3108,2,1,42507,42572,65,0,1,0
28,3522 N 214TH Street,Port Byron,61275,349900,343000,6900,0.01972,295,1164,3,2,1965,2164,2,0,44048,44113,65,0,1,0
12,1007 14TH Street,Rapids City,61278,379900,345000,34900,0.09187,146,2364,4,4,2005,3556,3,1,40934,41156,222,0,0,1
37,1804 RIDGEFIELD Drive,Port Byron,61275,359000,345000,14000,0.03900,159,2165,3,4,2006,2865,3,1,43963,44104,141,0,1,0
22,3522 N 214TH Street,Port Byron,61275,360000,345000,15000,0.04167,296,1164,2,2,1965,2164,2,0,43455,43497,42,0,1,0
46,21304 RIVER Road North,Cordova,61242,485000,345000,140000,0.28866,95,3616,3,5,1990,4166,3,2,44321,44400,79,1,0,0
24,303 PEARSALL Drive,Port Byron,61275,344000,345500,-1500,-0.00436,160,2163,5,4,2008,3263,3,1,42817,42874,57,1,1,0
1,810 12TH Street A,Rapids City,61275,348029,348029,0,0.00000,205,1701,3,2,2021,1701,2,0,44301,44545,244,0,0,1
17,23005 80TH Avenue North,Port Byron,61275,349900,350000,-100,-0.00029,183,1914,3,3,2007,1914,2,1,43566,43614,48,1,1,0
19,829 WOODFIELD Court,Port Byron,61275,369900,350000,19900,0.05380,156,2250,3,3,2006,2250,3,0,43375,43579,204,1,1,0
24,1700 TIMBER RIDGE Drive,Port Byron,61275,358500,350500,8000,0.02232,153,2286,4,4,2004,3426,3,1,43131,43350,219,1,1,0
29,1716 PARKWAY Drive,Port Byron,61275,309900,352000,-42100,-0.13585,152,2319,4,4,1993,2925,4,0,44316,44377,61,1,1,0
24,21729 RT 2 & 92,Port Byron,61275,365000,352000,13000,0.03562,203,1736,4,2,1960,2912,2,0,43014,43098,84,1,1,0
43,815 N RIVER Drive,Port Byron,61275,370000,355000,15000,0.04054,148,2400,3,4,2004,2400,3,1,44228,44265,37,1,1,0
53,9805 239TH Street North,Port Byron,61275,350000,356000,-6000,-0.01714,194,1836,4,2,1976,2636,2,0,45069,45105,36,1,1,0
24,3711 214TH Street North,Port Byron,61275,369999,358000,11999,0.03243,118,3025,4,4,2007,3025,3,1,42562,42748,186,1,1,0
24,21520 42ND Avenue North,Port Byron,61275,374900,360000,14900,0.03974,189,1905,3,3,2007,2671,2,1,44867,44973,106,1,1,0
31,1808 ACORN Circle,Port Byron,61275,365000,360000,5000,0.01370,164,2189,4,3,1993,3889,3,0,44396,44435,39,1,1,0
39,23424 95TH Avenue,Port Byron,61275,360000,360000,0,0.00000,164,2200,5,3,1972,3300,3,0,45188,45219,31,1,1,0
23,1622 WHITE TAIL Drive,Port Byron,61275,375000,360000,15000,0.04000,127,2832,5,5,1995,3910,4,1,42919,43007,88,1,1,0
24,2012 RIDGEFIELD Drive,Port Byron,61275,379000,362000,17000,0.04485,160,2265,4,3,2008,4065,3,0,41376,41432,56,1,1,0
38,9419 228TH Street North,Port Byron,61275,379900,363000,16900,0.04449,257,1415,4,3,1971,2668,3,0,44481,44582,101,1,1,0
39,2307 WOODHAVEN Lane,Port Byron,61275,364900,364900,0,0.00000,157,2324,4,3,1993,2934,2,1,44993,45026,33,1,1,0
24,1700 1ST Street,Rapids City,61278,399900,365000,34900,0.08727,143,2548,3,4,1989,4080,2,2,40956,41109,153,0,0,1
25,11 SUNSET Drive,Cordova,61242,379900,367500,12400,0.03264,153,2406,4,4,1997,4348,4,0,43208,43343,135,1,0,0
24,1419 LAKESIDE Drive,Port Byron,61275,389900,369000,20900,0.05360,142,2600,3,4,1999,3765,3,1,42128,42215,87,0,1,0
49,1734 7TH Avenue,Rapids City,61278,385000,370000,15000,0.03896,175,2114,3,2,1952,2114,2,0,44685,44841,156,0,0,1
40,22702 94TH Avenue North,Port Byron,61275,379000,370000,9000,0.02375,154,2400,5,6,1986,4500,3,3,44966,45023,57,0,1,0
24,22221 57TH Avenue North,Port Byron,61275,380000,370000,10000,0.02632,140,2636,4,4,1994,3866,3,1,44340,44390,50,0,1,0
30,3 EAGLE POINT Lane,Rapids City,61275,359900,370000,-10100,-0.02806,134,2760,4,5,1998,3256,4,1,44312,44344,32,0,0,1
25,2308 TIMBERLANE Drive,Port Byron,61275,370000,372000,-2000,-0.00541,199,1865,4,3,2009,2665,3,0,44404,44439,35,0,1,0
29,18520 RIVER Road North,Cordova,61242,362500,372500,-10000,-0.02759,233,1600,3,2,1960,2035,2,0,44319,44368,49,1,0,0
24,1623 ELM SHORE Drive,Port Byron,61275,399900,374000,25900,0.06477,175,2140,3,3,1955,2140,2,1,41090,41256,166,0,1,0
38,21707 42ND Avenue North,Port Byron,61275,400000,375000,25000,0.06250,200,1876,4,3,2008,3376,3,0,43901,43997,96,0,1,0
31,903 4TH Avenue,Port Byron,61275,379900,375000,4900,0.01290,108,3458,5,4,1998,5089,3,1,44286,44321,35,0,1,0
24,3417 214TH Street North,Port Byron,61275,379000,375000,4000,0.01055,160,2337,4,3,2006,4297,3,0,42321,42395,74,0,1,0
21,2005 TIMBER RIDGE Drive,Port Byron,61275,375000,375500,-500,-0.00133,175,2146,3,3,2006,2146,2,1,45133,45177,44,0,1,0
31,1 EAGLE POINTE Lane,Rapids City,61278,374900,376000,-1100,-0.00293,142,2639,4,3,2005,2639,2,1,44424,44519,95,0,0,1
31,1931 Brierwood Lane,Port Byron,61275,385000,378000,7000,0.01818,158,2400,5,4,1995,3200,3,1,44792,44869,77,0,1,0
