Photo,Picture Count,MLS #,Class,Type,Area/Tract,Status,List Date,Listing Price,,Address,City,State,Zip,,Price,Price Per SQFT,,Closing Date,Cordova,Port Byron,Total SQFT,# Bedrooms,Total Baths,Year Built,,Total Fin SQFT,Total Full Baths
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1333381/0/120/90/8a855fc5e1a7da951717bf5ced9b1b24/4/8cfc2a764152cc3bac46724a92d3644e/1333381.JPG,24,QC4174972,Residential,Single Family,QCARA Area,Sold,8/9/2016,"$397,500 ",,22919 80TH Avenue North,Port Byron,IL,61275,,"$390,000 ",$162.23 ,,1/31/2017,0,1,2404,4,3,2007,,"4,090",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1223836/0/120/90/a9515534b10086ebedd00fedbabceb98/4/877dce31039ec194ea1ee5b5a1354b4f/1223836.JPG,24,QC4180618,Residential,Single Family,QCARA Area,Sold,3/16/2017,"$534,900 ",,16724 RIVER Road,Cordova,IL,61242,,"$500,000 ",$133.12 ,,4/28/2017,1,0,3756,4,4,2000,,"3,756",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/190974/0/120/90/4e073837ad30c67592a7fc9606685593/4/99ea01148bc2cbb909d3d5e3f2732dee/190974.JPG,23,QC4184062,Residential,Single Family,QCARA Area,Sold,7/3/2017,"$375,000 ",,1622 WHITE TAIL Drive,Port Byron,IL,61275,,"$360,000 ",$127.12 ,,9/29/2017,0,1,2832,5,5,1995,,"3,910",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/173334/0/120/90/5e328adea40cff3f5dedfa6575446b04/4/75bc0d643a29a6b0fb410817aa1b5261/173334.JPG,4,QC4185077,Residential,Single Family,QCARA Area,Sold,8/3/2017,"$450,000 ",,23709 N 77TH Avenue Court,Port Byron,IL,61275,,"$620,406 ",$351.11 ,,11/3/2017,0,1,1767,4,3,2017,,"3,051",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/195509/0/120/90/009db3f4904d339aee497fdb02e906a7/4/f0105c2731f94b792b6dd9ad685d3e56/195509.JPG,24,QC4186966,Residential,Single Family,QCARA Area,Sold,10/6/2017,"$365,000 ",,21729 RT 2 & 92,Port Byron,IL,61275,,"$352,000 ",$202.76 ,,12/29/2017,0,1,1736,4,2,1960,,"2,912",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/159622/0/120/90/e7611f21dbb36ebb2b426e2815ed6d8c/0/633a32692980e7ebd892c8961d121aee/159622.JPG,24,QC4189998,Residential,Single Family,QCARA Area,Sold,2/23/2018,"$399,900 ",,1703 Turkey Ridge Court,Port Byron,IL,61275,,"$390,500 ",$145.87 ,,4/19/2018,0,1,2677,5,3,2006,,"4,205",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1330772/0/120/90/a5a561a1a02000eaf453f7d58c8d9834/4/326ca21d0315b1179810ef0916018f01/1330772.JPG,25,QC4191669,Residential,Single Family,QCARA Area,Sold,4/18/2018,"$379,900 ",,11 SUNSET Drive,Cordova,IL,61242,,"$367,500 ",$152.74 ,,8/31/2018,1,0,2406,4,4,1997,,"4,348",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1335692/0/120/90/628de961e8e1cf84ed3883de1e31dee8/4/23a900b5f7a17b2095dc3c152950da22/1335692.JPG,24,QC4189441,Residential,Single Family,QCARA Area,Sold,1/31/2018,"$358,500 ",,1700 TIMBER RIDGE Drive,Port Byron,IL,61275,,"$350,500 ",$153.32 ,,9/7/2018,0,1,2286,4,4,2004,,"3,426",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1273392/0/120/90/a34ff170f846a0b03284fc0cddc0d044/4/05536bb877e7181cfdc776070fc08631/1273392.JPG,22,QC4192645,Residential,Single Family,QCARA Area,Sold,5/18/2018,"$610,000 ",,16808 RIVER Road North,Cordova,IL,61242,,"$575,000 ",$194.13 ,,10/18/2018,1,0,2962,5,4,2004,,"3,186",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1267079/0/120/90/c4d2ca582e9135045355ca432dab9575/4/0440ed56293ae13b0160d0a220b8e32b/1267079.JPG,24,QC4197804,Residential,Single Family,QCARA Area,Sold,11/5/2018,"$549,900 ",,24100 101ST Avenue North,Port Byron,IL,61275,,"$500,000 ",$161.92 ,,3/29/2019,0,1,3088,3,4,2007,,"4,863",4
